Pokemon,Move1,Move2,Move3,Move4,Move5,Move6,Move7,Move8,Move9,Move10,Move11,Move12,Move13,Move14,Move15,Move16,Move17,Move18,Move19,Move20,Move21,Move22,Move23,Move24,Move25,Move26,Move27,Move28,Move29,Move30,Move31,Move32,Move33,Move34,Move35,Move36,Move37,Move38,Move39,Move40,Move41,Move42,Move43,Move44,Move45,Move46,Move47,Move48,Move49,Move50,Move51,Move52,Move53,Move54,Move55,Move56,Move57,Move58,Move59,Move60,Move61,Move62,Move63,Move64,Move65,Move66,Move67,Move68,Move69,Move70,Move71,Move72,Move73,Move74,Move75,Move76,Move77,Move78,Move79,Move80,Move81,Move82,Move83,Move84,Move85,Move86,Move87,Move88,Move89,Move90,Move91,Move92,Move93,Move94,Move95,Move96,Move97,Move98,Move99,Move100,Move101,Move102,Move103,Move104,Move105,Move106,Move107,Move108,Move109,Move110,Move111,Move112,Move113,Move114,Move115,Move116,Move117,Move118,Move119,Move120,Move121,Move122,Move123,Move124,Move125,Move126,Move127,Move128,Move129,Move130,Move131,Move132,Move133,Move134,Move135,Move136,Move137,Move138,Move139,Move140,Move141,Move142,Move143,Move144,Move145,Move146,Move147,Move148,Move149,Move150,Move151,Move152,Move153,Move154,Move155,Move156,Move157,Move158,Move159,Move160,Move161,Move162,Move163,Move164,Move165,Move166,Move167,Move168,Move169,Move170,Move171,Move172,Move173,Move174,Move175,Move176,Move177,Move178,Move179,Move180,Move181,Move182,Move183,Move184,Move185,Move186,Move187,Move188,Move189,Move190,Move191,Move192,Move193,Move194,Move195,Move196,Move197,Move198,Move199,Move200,Move201,Move202,Move203,Move204,Move205,Move206,Move207,Move208,Move209,Move210,Move211,Move212,Move213,Move214,Move215,Move216,Move217,Move218,Move219,Move220,Move221,Move222,Move223,Move224,Move225,Move226,Move227,Move228,Move229,Move230,Move231,Move232,Move233,Move234,Move235,Move236,Move237,Move238,Move239,Move240,Move241,Move242,Move243,Move244,Move245,Move246,Move247,Move248,Move249,Move250,Move251,Move252,Move253,Move254,Move255,Move256,Move257,Move258
Voltorb,Thief,Facade,Energy Ball,Giga Drain,Recycle,Endure,Substitute,Screech,Thunder,Rain Dance,Discharge,Grassy Terrain,Charge,Magical Leaf,Agility,Helping Hand,Rollout,Electro Ball,Stun Spore,Ice Ball,Thunder Shock,Electric Terrain,Spark,Explosion,Solar Beam,Bullet Seed,Mirror Coat,Foul Play,Wild Charge,Reflect,Leaf Storm,Thunder Wave,Double-Edge,Light Screen,Self-Destruct,Seed Bomb,Rest,Thunderbolt,Eerie Impulse,Tackle,Metal Sound,Take Down,Electroweb,Sleep Talk,Grassy Glide,Swift,Protect,Taunt,Tera Blast,Charge Beam,Worry Seed,Volt Switch,Leech Seed,Gyro Ball,Magnet Rise,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrode,Thief,Facade,Hyper Beam,Energy Ball,Giga Impact,Recycle,Giga Drain,Endure,Substitute,Screech,Thunder,Rain Dance,Discharge,Grassy Terrain,Charge,Magical Leaf,Agility,Curse,Helping Hand,Rollout,Electro Ball,Stun Spore,Ice Ball,Thunder Shock,Chloroblast,Electric Terrain,Spark,Supercell Slam,Explosion,Solar Beam,Mirror Coat,Bullet Seed,Foul Play,Wild Charge,Reflect,Leaf Storm,Thunder Wave,Double-Edge,Magnetic Flux,Light Screen,Self-Destruct,Seed Bomb,Rest,Thunderbolt,Eerie Impulse,Tackle,Metal Sound,Take Down,Electroweb,Sleep Talk,Grassy Glide,Swift,Protect,Taunt,Tera Blast,Charge Beam,Worry Seed,Scary Face,Volt Switch,Leech Seed,Gyro Ball,Magnet Rise,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggcute,Thief,Facade,Swagger,Energy Ball,Giga Drain,Psychic,Attract,Endure,Substitute,Imprison,Uproar,Ancient Power,Dream Eater,Flash,Trick Room,Sludge Bomb,Grassy Terrain,Mega Drain,Curse,Helping Hand,Ingrain,Stun Spore,Absorb,Double Team,Psych Up,Psychic Noise,Strength,Nature Power,Solar Beam,Skill Swap,Explosion,Bullet Seed,Leaf Storm,Reflect,Hypnosis,Moonlight,Power Swap,Psyshock,Confusion,Trick,Light Screen,Sunny Day,Swords Dance,Seed Bomb,Rest,Block,Synthesis,Sleep Talk,Grassy Glide,Protect,Extrasensory,Stored Power,Tera Blast,Worry Seed,Leech Seed,Sleep Powder,Poison Powder,Psybeam,Grass Knot,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor,Facade,Swagger,Substitute,Imprison,Uproar,Curse,Ingrain,Stun Spore,Psych Up,Knock Off,Wood Hammer,Moonlight,Power Swap,Psyshock,Trick,Rest,Outrage,Draco Meteor,Sleep Talk,Stored Power,Tera Blast,Growth,Poison Powder,Grass Knot,Thief,Dragon Tail,Energy Ball,Ancient Power,Trick Room,Sludge Bomb,Magical Leaf,Nature Power,Iron Head,Bullet Seed,Leaf Storm,Reflect,Dragon Cheer,Swords Dance,Block,Synthesis,Worry Seed,Sleep Powder,Zen Headbutt,Hyper Beam,Giga Drain,Psychic,Psychic Terrain,Dream Eater,Grassy Terrain,Mega Drain,Dragon Hammer,Psychic Noise,Solar Beam,Skill Swap,Explosion,Hypnosis,Confusion,Light Screen,Flamethrower,Trailblaze,Take Down,Extrasensory,Bulldoze,Attract,Psybeam,Giga Impact,Calm Mind,Low Kick,Endure,Flash,Body Slam,Helping Hand,Absorb,Double Team,Earthquake,Gravity,Strength,Dragon Pulse,Future Sight,Breaking Swipe,Stomping Tantrum,Double-Edge,Sunny Day,Seed Bomb,Grassy Glide,Stomp,Protect,Brick Break,Leech Seed,Expanding Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubone,Facade,Thief,Swagger,Endure,Substitute,Perish Song,Screech,Iron Tail,Ancient Power,Fire Blast,Stealth Rock,Low Kick,Uproar,Iron Defense,Snore,Focus Energy,Thrash,Curse,Body Slam,Rock Slide,Earth Power,Fling,Double Team,Earthquake,Rock Tomb,Bonemerang,Strength,Iron Head,Focus Punch,Aerial Ace,Double Kick,Detect,Retaliate,Stomping Tantrum,Bone Rush,Double-Edge,Rock Smash,Tail Whip,Sunny Day,Swords Dance,Belly Drum,Flamethrower,Mega Punch,Dig,Blizzard,Skull Bash,Rest,Rock Climb,Leer,Scorching Sands,Mud-Slap,Brutal Swing,Sleep Talk,Mega Kick,Swift,Brick Break,Protect,Growl,Round,Sandstorm,Bulldoze,Thunder Punch,False Swipe,Ice Beam,Fire Punch,Attract,Headbutt,Icy Wind,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marowak,Facade,Swagger,Hex,Dark Pulse,Substitute,Perish Song,Imprison,Rain Dance,Uproar,Snore,Curse,Flame Wheel,Rock Slide,Focus Punch,Detect,Will-O-Wisp,Belly Drum,Rest,Outrage,Sleep Talk,Mega Kick,Round,Growl,Shadow Bone,Endeavor,Thief,Focus Blast,Poltergeist,Iron Tail,Ancient Power,Stealth Rock,Iron Defense,Focus Energy,Thrash,Earth Power,Iron Head,Shadow Ball,Heat Wave,Burning Jealousy,Rock Smash,Swords Dance,Flare Blitz,Stone Edge,Dig,Skull Bash,Rock Climb,Swift,Ice Beam,Hyper Beam,Fire Blast,Screech,Thunder,Rock Tomb,Bonemerang,Aerial Ace,Bone Rush,Fire Spin,Icy Wind,Flamethrower,Thunderbolt,Leer,Bulldoze,Attract,Throat Chop,Giga Impact,Endure,Low Kick,Ally Switch,Body Slam,Fling,Double Team,Earthquake,Strength,Double Kick,Retaliate,Stomping Tantrum,Double-Edge,Mega Punch,Tail Whip,Sunny Day,Blizzard,Scorching Sands,Mud-Slap,Brutal Swing,Brick Break,Protect,Sandstorm,Thunder Punch,False Swipe,Fire Punch,Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitmonlee,Close Combat,Thief,Facade,Focus Blast,Axe Kick,Throat Chop,Counter,Giga Impact,Swagger,Mach Punch,Lunge,Low Kick,Endure,Substitute,Bullet Punch,Work Up,Rain Dance,Uproar,Mind Reader,Aura Sphere,Poison Jab,Focus Energy,Rapid Spin,Reversal,Helping Hand,Body Slam,Rock Slide,Vacuum Wave,Fake Out,Fling,Double Team,Metronome,Earthquake,Rock Tomb,Feint,Strength,Focus Punch,Knock Off,Double Kick,Upper Hand,Stomping Tantrum,Double-Edge,Sucker Punch,Rock Smash,Revenge,Sunny Day,Swords Dance,Stone Edge,Rest,Low Sweep,Rock Climb,Wide Guard,Take Down,Coaching,Blaze Kick,Mud-Slap,Sleep Talk,Mega Kick,Bulk Up,Swift,Brick Break,Protect,Baton Pass,Taunt,Tera Blast,Scary Face,Bulldoze,Attract,High Jump Kick,Tackle,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitmonchan,Close Combat,Thief,Facade,Counter,Focus Blast,Throat Chop,Swagger,Giga Impact,Mach Punch,Low Kick,Bullet Punch,Endure,Substitute,Work Up,Rain Dance,Uproar,Mind Reader,Encore,Aura Sphere,Poison Jab,Quick Guard,Focus Energy,Ice Punch,Agility,Rapid Spin,Body Slam,Helping Hand,Rock Slide,Reversal,Fake Out,Fling,Double Team,Metronome,Earthquake,Rock Tomb,Feint,Strength,Focus Punch,Knock Off,Power-Up Punch,Detect,Upper Hand,Double-Edge,Rock Smash,Mega Punch,Sunny Day,Swords Dance,Revenge,Stone Edge,Rest,Low Sweep,Rock Climb,Tackle,Trailblaze,Take Down,Coaching,Mud-Slap,Sleep Talk,Bulk Up,Swift,Brick Break,Protect,Baton Pass,Taunt,Tera Blast,Scary Face,Thunder Punch,Bulldoze,Drain Punch,Fire Punch,Attract,High Jump Kick,Vacuum Wave,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lickitung,Facade,Thief,Swagger,Hyper Beam,Giga Impact,Power Whip,Endure,Substitute,Fire Blast,Screech,Muddy Water,Water Pulse,Work Up,Rain Dance,Iron Tail,Disable,Thunder,Dream Eater,Snore,Ice Punch,Thrash,Curse,Body Slam,Zen Headbutt,Rollout,Rock Slide,Supersonic,Ice Ball,Slam,Fling,Double Team,Earthquake,Psych Up,Aqua Tail,Rock Tomb,Strength,Wrap,Focus Punch,Knock Off,Solar Beam,Surf,Shadow Ball,Shock Wave,Double-Edge,Rock Smash,Icy Wind,Lick,Sunny Day,Belly Drum,Flamethrower,Swords Dance,Dig,Blizzard,Thunderbolt,Rest,Rock Climb,Belch,Defense Curl,Sleep Talk,Cut,Stomp,Protect,Brick Break,Sandstorm,Bulldoze,Thunder Punch,Ice Beam,Fire Punch,Attract,Tackle,Amnesia,Hammer Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koffing,Thief,Facade,Venoshock,Torment,Swagger,Payback,Dark Pulse,Endure,Substitute,Fire Blast,Thunder,Screech,Rain Dance,Attract,Flash,Sludge Bomb,Spit Up,Curse,Spite,Body Slam,Venom Drench,Sludge,Smokescreen,Double Team,Memento,Toxic Spikes,Explosion,Will-O-Wisp,Shadow Ball,Shock Wave,Sunny Day,Self-Destruct,Flamethrower,Poison Gas,Stockpile,Rest,Thunderbolt,Swallow,Clear Smog,Sludge Wave,Belch,Take Down,Toxic,Pain Split,Sleep Talk,Smog,Protect,Assurance,Acid Spray,Taunt,Haze,Scary Face,Tera Blast,Gunk Shot,Gyro Ball,Destiny Bond,Grudge,Tackle,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weezing,Aromatic Mist,Thief,Double Hit,Facade,Venoshock,Hyper Beam,Giga Impact,Dazzling Gleam,Torment,Misty Terrain,Overheat,Payback,Dark Pulse,Endure,Substitute,Strange Steam,Fire Blast,Thunder,Rain Dance,Screech,Attract,Flash,Sludge Bomb,Play Rough,Spit Up,Spite,Body Slam,Curse,Venom Drench,Sludge,Smokescreen,Double Team,Memento,Toxic Spikes,Explosion,Will-O-Wisp,Shadow Ball,Heat Wave,Double-Edge,Shock Wave,Sunny Day,Self-Destruct,Flamethrower,Poison Gas,Rest,Thunderbolt,Stockpile,Sludge Wave,Clear Smog,Swallow,Belch,Take Down,Toxic,Pain Split,Sleep Talk,Smog,Protect,Assurance,Acid Spray,Taunt,Haze,Scary Face,Tera Blast,Gunk Shot,Misty Explosion,Fairy Wind,Swagger,Defog,Gyro Ball,Destiny Bond,Grudge,Tackle,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyhorn,Roar,Thief,Facade,Counter,Giga Impact,Endure,Substitute,Fire Blast,Heavy Slam,Thunder,Rain Dance,High Horsepower,Stealth Rock,Uproar,Iron Tail,Smack Down,Poison Jab,Guard Split,Curse,Mud Shot,Body Slam,Rock Slide,Reversal,Endeavor,Horn Drill,Earth Power,Body Press,Earthquake,Horn Attack,Crunch,Aqua Tail,Rock Tomb,Supercell Slam,Dragon Pulse,Stomping Tantrum,Double-Edge,Rock Smash,Tail Whip,Megahorn,Icy Wind,Sunny Day,Rock Polish,Stone Edge,Dig,Rest,Swords Dance,Flamethrower,Thunderbolt,Blizzard,Dragon Rush,Take Down,Metal Burst,Thunder Fang,Mud-Slap,Scorching Sands,Smart Strike,Sleep Talk,Stomp,Protect,Tera Blast,Scary Face,Rock Blast,Ice Fang,Bulldoze,Fire Fang,Sandstorm,Ice Beam,Tackle,Drill Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhydon,Facade,Substitute,Rain Dance,Uproar,Poison Jab,Curse,Rock Slide,Aqua Tail,Focus Punch,Surf,Rest,Outrage,Smart Strike,Sleep Talk,Tera Blast,Fire Fang,Endeavor,Drill Run,Hammer Arm,Roar,Thief,Focus Blast,Iron Tail,Stealth Rock,Iron Defense,Ice Punch,Mud Shot,Earth Power,Crunch,Rock Smash,Megahorn,Swords Dance,Stone Edge,Dig,Thunder Fang,Hydro Pump,Ice Beam,Hyper Beam,Fire Blast,Heavy Slam,Thunder,High Horsepower,Avalanche,Horn Drill,Body Press,Rock Tomb,Icy Wind,Flamethrower,Thunderbolt,Take Down,Scary Face,Rock Blast,Ice Fang,Bulldoze,Supercell Slam,Tackle,Giga Impact,Endure,Smack Down,Body Slam,Helping Hand,Reversal,Fling,Earthquake,Horn Attack,Dragon Pulse,Shadow Claw,Breaking Swipe,Stomping Tantrum,Double-Edge,Tail Whip,Sunny Day,Heat Crash,Blizzard,Scorching Sands,Meteor Beam,Mud-Slap,Stomp,Protect,Brick Break,Sandstorm,Thunder Punch,Fire Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chansey,Facade,Substitute,Rain Dance,Hyper Voice,Rock Slide,Tri Attack,Healing Wish,Echoed Voice,Present,Rest,Sleep Talk,Stored Power,Tera Blast,Charge Beam,Drain Punch,Sing,Endeavor,Grass Knot,Thief,Focus Blast,Dazzling Gleam,Water Pulse,Iron Tail,Stealth Rock,Ice Punch,Baby-Doll Eyes,Pound,Disarming Voice,Wild Charge,Thunder Wave,Shadow Ball,Rock Smash,Defense Curl,Swift,Fairy Wind,Ice Beam,Zen Headbutt,Hyper Beam,Psychic,Fire Blast,Thunder,Soft-Boiled,Copycat,Seismic Toss,Rock Tomb,Solar Beam,Skill Swap,Heal Pulse,Light Screen,Icy Wind,Flamethrower,Covet,Thunderbolt,Last Resort,Draining Kiss,Trailblaze,Take Down,Charm,Bulldoze,Sweet Kiss,Tackle,Chilling Water,Giga Impact,Calm Mind,Endure,Heal Bell,Body Slam,Helping Hand,Fling,Metronome,Earthquake,Gravity,Electric Terrain,Stomping Tantrum,Snowscape,Double-Edge,Tail Whip,Sunny Day,Blizzard,Life Dew,Brick Break,Protect,Sandstorm,Thunder Punch,Fire Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangela,Facade,Thief,Swagger,Double Hit,Hyper Beam,Energy Ball,Giga Drain,Power Whip,Giga Impact,Attract,Endure,Substitute,Amnesia,Ancient Power,Flash,Grass Knot,Sludge Bomb,Grassy Terrain,Mega Drain,Tickle,Bind,Ingrain,Stun Spore,Slam,Absorb,Double Team,Psych Up,Nature Power,Solar Beam,Knock Off,Bullet Seed,Leaf Storm,Reflect,Power Swap,Shock Wave,Confusion,Rock Smash,Flail,Sunny Day,Swords Dance,Rest,Vine Whip,Sleep Talk,Cut,Protect,Rage Powder,Acid Spray,Growth,Leech Seed,Sleep Powder,Poison Powder,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangaskhan,Facade,Swagger,Counter,Safeguard,Substitute,Uproar,Rain Dance,Snore,Rock Slide,Focus Punch,Surf,Rest,Outrage,Sleep Talk,Mega Kick,Round,Growl,Assurance,Drain Punch,Endeavor,Hammer Arm,Roar,Thief,Focus Blast,Double Hit,Water Pulse,Iron Tail,Focus Energy,Ice Punch,Fake Out,Crunch,Circle Throw,Pound,Shadow Ball,Sucker Punch,Rock Smash,Dig,Rock Climb,Hydro Pump,Cut,Ice Beam,Hail,Hyper Beam,Fire Blast,Thunder,Avalanche,Disable,Whirlpool,Rock Tomb,Solar Beam,Aerial Ace,Shock Wave,Icy Wind,Flamethrower,Thunderbolt,Terrain Pulse,Last Resort,Beat Up,Bulldoze,Attract,Bite,Giga Impact,Endure,Low Kick,Work Up,Crush Claw,Reversal,Helping Hand,Body Slam,Fling,Double Team,Earthquake,Strength,Shadow Claw,Retaliate,Double-Edge,Tail Whip,Sunny Day,Mega Punch,Blizzard,Stomp,Protect,Brick Break,Sandstorm,Thunder Punch,Fire Punch,Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsea,Dragon Breath,Facade,Swagger,Chilling Water,Waterfall,Endure,Substitute,Brine,Water Pulse,Bubble Beam,Twister,Rain Dance,Splash,Disable,Muddy Water,Whirlpool,Focus Energy,Laser Focus,Agility,Dragon Dance,Smokescreen,Double Team,Aurora Beam,Dragon Pulse,Flip Turn,Surf,Liquidation,Flash Cannon,Icy Wind,Flail,Scale Shot,Rest,Blizzard,Outrage,Scald,Clear Smog,Leer,Hydro Pump,Sleep Talk,Octazooka,Swift,Protect,Tera Blast,Water Gun,Ice Beam,Attract,Hail,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seadra,Dragon Breath,Facade,Swagger,Chilling Water,Giga Impact,Hyper Beam,Waterfall,Endure,Substitute,Brine,Water Pulse,Bubble Beam,Twister,Rain Dance,Muddy Water,Disable,Splash,Whirlpool,Focus Energy,Laser Focus,Agility,Dragon Dance,Smokescreen,Double Team,Aurora Beam,Dragon Pulse,Flip Turn,Surf,Liquidation,Snowscape,Flash Cannon,Icy Wind,Flail,Scale Shot,Rest,Blizzard,Outrage,Scald,Clear Smog,Leer,Hydro Pump,Sleep Talk,Octazooka,Swift,Protect,Tera Blast,Scary Face,Water Gun,Ice Beam,Attract,Hail,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldeen,Facade,Swagger,Throat Chop,Waterfall,Endure,Substitute,Water Pulse,Acupressure,Rain Dance,Muddy Water,Peck,Whirlpool,Poison Jab,Snore,Agility,Body Slam,Mud Shot,Supersonic,Horn Drill,Double Team,Horn Attack,Aqua Tail,Aqua Ring,Flip Turn,Dive,Surf,Tail Whip,Flail,Megahorn,Swords Dance,Icy Wind,Scale Shot,Rest,Blizzard,Skull Bash,Scald,Bounce,Mud-Slap,Smart Strike,Hydro Pump,Sleep Talk,Swift,Round,Protect,Haze,Soak,Ice Beam,Attract,Hail,Psybeam,Drill Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seaking,Facade,Swagger,Throat Chop,Hyper Beam,Giga Impact,Waterfall,Endure,Substitute,Water Pulse,Acupressure,Rain Dance,Muddy Water,Peck,Whirlpool,Poison Jab,Snore,Agility,Body Slam,Mud Shot,Supersonic,Horn Drill,Double Team,Horn Attack,Aqua Tail,Aqua Ring,Flip Turn,Dive,Surf,Tail Whip,Flail,Megahorn,Swords Dance,Icy Wind,Scale Shot,Rest,Blizzard,Skull Bash,Scald,Bounce,Mud-Slap,Smart Strike,Hydro Pump,Sleep Talk,Swift,Round,Protect,Haze,Soak,Ice Beam,Attract,Hail,Psybeam,Drill Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staryu,Facade,Swagger,Recover,Psychic,Dazzling Gleam,Recycle,Waterfall,Endure,Substitute,Brine,Water Pulse,Minimize,Rain Dance,Thunder,Flash,Whirlpool,Snore,Rapid Spin,Double Team,Psych Up,Tri Attack,Cosmic Power,Flip Turn,Dive,Surf,Reflect,Flash Cannon,Thunder Wave,Light Screen,Icy Wind,Rest,Blizzard,Thunderbolt,Scald,Confuse Ray,Power Gem,Hydro Pump,Harden,Sleep Talk,Swift,Round,Protect,Water Gun,Ice Beam,Gyro Ball,Hail,Tackle,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
